"method","silhouette"
"NMF_Louvain_0.1",0.245710983524788
"NMF_Louvain_0.2",0.260413423783109
"NMF_Louvain_0.3",0.288867248475893
"NMF_Leiden_0.1",0.22246689712561
"NMF_Leiden_0.2",0.283855380635648
"NMF_Leiden_0.3",0.294133089163696
